codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
3830,CORPORACION UNIVERSAL DE INVESTIGACION Y TECNOLOGIA -CORUNIVERSITEC-,860.514.382-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,2286,RESOLUCION
9912,UNIVERSIDAD DEL VALLE,1,1203,SECCIONAL,76,VALLE DEL CAUCA,76520,PALMIRA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,12,ORDENANZA
3820,CORPORACION ACADEMIA TECNOLOGICA DE COLOMBIA -ATEC-,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,13298,RESOLUCION
1729,UNIVERSIDAD EL BOSQUE,860.066.789-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,11153,RESOLUCION
9124,FUNDACION TECNOLOGICA RURAL COREDI - FUNTEC,900175084-4,,PRINCIPAL,5,ANTIOQUIA,5440,MARINILLA,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,19,1896,NO INFORMA
1826,UNIVERSIDAD ANTONIO NARIÑO,860.056.070,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,4571,RESOLUCION
9104,ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,30,NO INFORMA
2744,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI,800109387-7,,PRINCIPAL,52,NARINIO,52001,PASTO,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,10735,RESOLUCION
9919,TECNOLOGICO DE ENERGIA E INNOVACION-  E-LERNOVA,900720515-5,,PRINCIPAL,25,CUNDINAMARCA,25175,CHIA,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,19,4283,NO INFORMA
4808,CORPORACION REGIONAL DE EDUCACION SUPERIOR-CRES-DE CALI,890.328.023-8,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,1998,RESOLUCION
